날짜,문재인 테마주,홍준표 테마주,안철수 테마주,유승민 테마주,안희정 테마주
2016-07-04,1.99975,0.83608,0.83608,0.19342,2.2695
2016-07-05,1.63474,0.50227,0.50227,0.21214,1.46403
2016-07-06,1.55986,0.56155,0.56155,0.23398,1.18034
2016-07-07,1.43507,0.57091,0.57091,0.89224,1.89463
2016-07-08,1.36644,0.53659,0.53659,1.49435,1.88956
2016-07-09,0.67698,0.19654,0.19654,0.30885,0.90172
2016-07-10,0.6333,0.32133,0.32133,0.24333,0.82066
2016-07-11,1.33524,0.53347,0.53347,0.40868,1.34245
2016-07-12,1.33524,0.62394,0.62394,0.63018,1.89969
2016-07-13,1.11062,0.46796,0.46796,0.4118,1.51975
2016-07-14,0.99519,0.45548,0.45548,0.24957,1.03343
2016-07-15,0.81737,0.46484,0.46484,0.26517,0.95744
2016-07-16,0.43364,0.27765,0.27765,0.1435,0.96757
2016-07-17,0.35876,0.24333,0.24333,0.12166,0.99797
2016-07-18,0.79241,0.47419,0.47419,0.16534,1.18034
2016-07-19,0.94527,0.67698,0.67698,0.3806,1.06889
2016-07-20,1.10438,0.58027,0.58027,0.23398,0.74974
2016-07-21,1.11062,0.53659,0.53659,0.18094,0.76494
2016-07-22,1.75017,0.70506,0.70506,0.23086,1.50455
2016-07-23,0.65826,0.4586,0.4586,0.10295,0.84093
2016-07-24,0.81113,0.47419,0.47419,0.11543,0.8308
2016-07-25,2.7828,0.79865,0.79865,0.21214,1.88956
2016-07-26,2.11206,0.94216,0.94216,0.19966,1.33738
2016-07-27,1.79072,0.6801,0.6801,0.17782,1.07902
2016-07-28,1.8188,0.26205,0.26205,0.13414,0.87639
2016-07-29,1.5505,0.14974,0.14974,0.13414,0.8004
2016-07-30,0.68322,0.09983,0.09983,0.08423,0.8004
2016-07-31,0.6957,0.10295,0.10295,0.04367,0.64336
2016-08-01,1.61914,0.24645,0.24645,0.09047,0.86626
2016-08-02,3.10725,0.48355,0.48355,0.20278,1.05369
2016-08-03,2.83583,0.40244,0.40244,0.21526,1.18034
2016-08-04,2.08086,0.29013,0.29013,0.33693,1.05876
2016-08-05,1.66593,0.26205,0.26205,0.71129,0.76494
2016-08-06,0.93592,0.25269,0.25269,0.4274,0.50151
2016-08-07,0.90784,0.20278,0.20278,0.30885,0.6231
2016-08-08,1.41947,0.41804,0.41804,0.43676,0.91185
2016-08-09,1.65969,0.40868,0.40868,0.63954,1.33738
2016-08-10,2.21813,0.4586,0.4586,0.69258,1.09422
2016-08-11,1.46315,0.41492,0.41492,0.41492,1.35764
2016-08-12,1.32276,0.29013,0.29013,0.40868,1.43363
2016-08-13,0.58651,0.1747,0.1747,0.21526,0.79533
2016-08-14,0.54283,0.19966,0.19966,0.12478,0.44579
2016-08-15,0.67074,0.3806,0.3806,0.21526,0.64336
2016-08-16,1.16054,0.48043,0.48043,0.27453,1.28672
2016-08-17,1.32276,0.32445,0.32445,0.20902,2.25937
2016-08-18,1.45691,0.443,0.443,0.25893,3.12563
2016-08-19,1.73145,0.48043,0.48043,0.50539,2.42147
2016-08-20,0.75809,0.24957,0.24957,0.11543,1.17021
2016-08-21,1.03263,0.33381,0.33381,0.11543,0.74974
2016-08-22,2.0715,0.49603,0.49603,0.18094,1.44376
2016-08-23,1.99663,0.40244,0.40244,0.1591,1.37791
2016-08-24,1.89679,0.52411,0.52411,0.14662,1.29685
2016-08-25,1.77512,0.34629,0.34629,0.21526,1.78824
2016-08-26,1.65034,0.28701,0.28701,0.09671,1.29179
2016-08-27,2.3242,0.33381,0.33381,0.10295,0.72948
2016-08-28,3.4785,3.55649,3.55649,0.09671,0.88145
2016-08-29,11.6834,21.10189,21.10189,0.46484,2.12259
2016-08-30,5.8495,5.29419,5.29419,0.38372,2.07193
2016-08-31,4.18668,2.46147,2.46147,0.59274,2.08713
2016-09-01,5.65608,2.80776,2.80776,0.48667,28.50557
2016-09-02,4.98533,2.53634,2.53634,0.50227,27.0618
2016-09-03,2.48954,1.329,1.329,0.32133,5.86119
