날짜,문재인,홍준표,안철수,유승민
2016-09-24,0.55156,0.12561,0.45221,0.32054
2016-09-25,0.64278,0.09766,0.44408,0.30403
2016-09-26,2.914,0.63401,0.62425,0.42003
2016-09-27,1.41951,0.40676,0.48153,0.37067
2016-09-28,0.8961,0.12425,0.52003,0.44636
2016-09-29,0.75052,0.1169,0.55923,0.36658
2016-09-30,0.68264,0.08433,0.42061,0.5223
2016-10-01,4.2092,0.0628,0.35266,0.26216
2016-10-02,5.23626,0.05084,0.43381,0.21781
2016-10-03,0.88934,0.0721,0.44798,0.2353
2016-10-04,0.99519,0.08095,0.49428,0.2591
2016-10-05,1.15625,0.07184,0.44415,0.26768
2016-10-06,2.06777,0.06645,0.53823,0.41794
2016-10-07,1.26867,0.06599,0.61209,0.43355
2016-10-08,0.73407,0.04798,0.37737,0.3277
2016-10-09,0.64135,0.04388,0.36183,0.24733
2016-10-10,0.94552,0.05,0.49083,0.29636
2016-10-11,1.14578,0.05442,0.52029,0.4078
2016-10-12,0.86756,0.0526,0.47516,0.38498
2016-10-13,0.98342,0.07074,0.56177,0.46216
2016-10-14,0.96795,0.05955,0.46222,0.41157
2016-10-15,1.54182,0.04304,0.38641,0.29987
2016-10-16,2.18435,0.04447,0.43394,0.36437
2016-10-17,2.6824,0.05838,0.6344,0.3143
2016-10-18,6.39759,0.06911,0.6634,0.38205
2016-10-19,2.93481,0.05884,0.56691,0.34532
2016-10-20,2.1021,0.06859,0.77822,0.35514
2016-10-21,1.51815,0.06092,3.70458,0.28108
2016-10-22,1.04851,0.04388,0.55221,0.21437
2016-10-23,1.20969,0.03836,0.52692,0.2223
2016-10-24,1.56802,0.05143,0.80676,0.47679
2016-10-25,4.32377,0.09187,2.12147,2.49566
2016-10-26,5.66461,0.09674,2.29,11.6529
2016-10-27,3.88144,0.08478,1.41561,2.03792
2016-10-28,2.34456,0.08101,1.25059,1.33362
2016-10-29,2.32024,0.07093,0.9738,1.29988
2016-10-30,1.91016,0.06645,1.05248,1.03271
2016-10-31,2.49235,0.08933,1.17244,1.5305
2016-11-01,3.16706,0.08394,1.08004,1.82966
2016-11-02,14.95131,0.07984,50.65394,2.14124
2016-11-03,5.86995,0.07802,8.21991,1.41314
2016-11-04,3.19847,0.07971,3.42896,2.11543
2016-11-05,2.20821,0.06573,1.27439,0.95124
2016-11-06,1.92271,0.08134,0.98069,0.78609
2016-11-07,2.35509,0.09375,1.18401,1.22745
2016-11-08,2.35223,0.0842,1.11945,1.71646
2016-11-09,2.52551,0.08673,1.43395,1.00469
2016-11-10,2.72492,0.07347,1.55749,0.97504
2016-11-11,3.60211,0.10416,1.25495,0.82243
2016-11-12,2.99736,0.08985,1.46867,0.82035
