,date,code,close
3792,2017-05-29,A096630,2915.0
3793,2017-05-29,A039560,5650.0
3794,2017-05-29,A102120,8830.0
3795,2017-05-30,A096630,2920.0
3796,2017-05-30,A102120,8920.0
3797,2017-05-30,A115500,5560.0
3798,2017-05-30,A069730,6640.0
3799,2017-05-30,A039560,5700.0
3800,2017-05-30,A035890,1415.0
3801,2017-05-30,A002140,3190.0
3802,2017-05-30,A042110,2045.0
3803,2017-05-30,A065650,4447.96
3804,2017-05-30,A155660,6900.0
3805,2017-05-30,A119850,4391.56
3806,2017-05-31,A065650,4569.36
3807,2017-05-31,A119850,4411.85
3808,2017-05-31,A155660,6900.0
3809,2017-05-31,A002140,3220.0
3810,2017-05-31,A096630,2885.0
3811,2017-05-31,A102120,9050.0
3812,2017-05-31,A115500,5440.0
3813,2017-05-31,A069730,6570.0
3814,2017-05-31,A039560,5620.0
3815,2017-05-31,A035890,1410.0
3816,2017-05-31,A042110,2055.0
3817,2017-06-01,A039560,5680.0
3818,2017-06-01,A042110,2080.0
3819,2017-06-01,A096630,2825.0
3820,2017-06-01,A035890,1380.0
3821,2017-06-01,A115500,5490.0
3822,2017-06-01,A119850,4457.49
3823,2017-06-01,A069730,6490.0
3824,2017-06-01,A102120,8920.0
3825,2017-06-01,A155660,6850.0
3826,2017-06-01,A002140,3180.0
3827,2017-06-01,A065650,4477.1
3828,2017-06-02,A065650,4598.49
3829,2017-06-02,A096630,2760.0
3830,2017-06-02,A069730,6490.0
3831,2017-06-02,A039560,5600.0
3832,2017-06-02,A035890,1365.0
3833,2017-06-02,A042110,2085.0
3834,2017-06-02,A002140,3215.0
3835,2017-06-02,A155660,6860.0
3836,2017-06-02,A115500,5480.0
3837,2017-06-02,A119850,4467.63
3838,2017-06-02,A102120,8880.0
3839,2017-06-05,A155660,6830.0
3840,2017-06-05,A002140,3175.0
3841,2017-06-05,A115500,5390.0
3842,2017-06-05,A119850,4482.84
3843,2017-06-05,A096630,2830.0
3844,2017-06-05,A035890,1350.0
3845,2017-06-05,A042110,2090.0
3846,2017-06-05,A102120,8750.0
3847,2017-06-05,A039560,5670.0
3848,2017-06-05,A069730,6360.0
3849,2017-06-05,A065650,5147.21
3850,2017-06-07,A115500,5410.0
3851,2017-06-07,A042110,2075.0
3852,2017-06-07,A155660,6740.0
3853,2017-06-07,A096630,2765.0
3854,2017-06-07,A002140,3080.0
3855,2017-06-07,A035890,1325.0
3856,2017-06-07,A039560,5740.0
3857,2017-06-07,A069730,6290.0
3858,2017-06-07,A102120,8650.0
3859,2017-06-07,A065650,4962.68
3860,2017-06-07,A119850,4492.98
3861,2017-06-08,A069730,6450.0
3862,2017-06-08,A039560,5740.0
3863,2017-06-08,A155660,6800.0
3864,2017-06-08,A096630,2790.0
3865,2017-06-08,A065650,5661.93
3866,2017-06-08,A042110,2080.0
3867,2017-06-08,A102120,8770.0
3868,2017-06-08,A115500,5400.0
3869,2017-06-08,A002140,3105.0
3870,2017-06-08,A035890,1325.0
3871,2017-06-08,A119850,4467.63
3872,2017-06-09,A002140,3110.0
3873,2017-06-09,A042110,2100.0
3874,2017-06-09,A039560,5740.0
3875,2017-06-09,A119850,4487.91
3876,2017-06-09,A155660,6810.0
3877,2017-06-09,A035890,1365.0
3878,2017-06-09,A102120,8630.0
